word;definition
deciduous;of a tree
disheveled;of hair
arcade;a covered passageway
disparity;a difference
disarray;a disorderly or untidy state
psychiatrist;a doctor who treats mental diseases
grimace;a facial distortion to show feeling such as pain
disquisition;a formal systematic inquiry
legacy;a gift made by a will
scad;a great quantity
compunction;a guilty feeling about doing something
colander;a metal or plastic bowl with a lot of small holes in it
alloy;a mixture as of metals
martinet;a person who demands complete obedience
founder;a person who establishes (an organization
apiary;a place where bee are kept
comeuppance;a punishment for something bad that you have done
minion;a servile dependent
carillon;a set of bells capable of being played
pittance;a small allowance or wage
counterpart;a thing that completes another
renounce;abandon
derelict;abandoned
ventral;abdominal
caliber;ability
plasticity;ability to be molded
mutability;ability to change in form
foresight;ability to foresee future happenings
prescience;ability to foretell the future
empathy;ability to identify with another's feelings
motility;ability to move spontaneously
soluble;able to be dissolved
tangible;able to be touched
buoyant;able to float
amphibian;able to live both on land and in water
solvent;able to pay all debts
effectual;able to produce a desired effect
discriminating;able to see differences
ambulatory;able to walk
anomalous;abnormal
aberrant;abnormal or deviant
aberration;abnormality
abrogate;abolish
consistency;absence of contradictions
anarchy;absence of governing body
imperative;absolutely necessary
assimilate;absorb
rapt;absorbed
riveting;absorbing
refrain;abstain from
celibate;abstaining from sexual intercourse
recondite;abstruse
preposterous;absurd
affluence;abundance
plenitude;abundance
ample;abundant
bountiful;abundant
luxuriant;abundant
rife;abundant
prolific;abundantly fruitful
invective;abuse
vituperative;abusive
chasm;abyss
mishap;accident
adventitious;accidental
fortuitous;accidental
spoonerism;accidental transposition of sounds in successive words
incriminate;accuse
wean;accustom a baby not to nurse
habituate;accustom or familiarize
inured;accustomed
appropriate;acquire
exonerate;acquit
arbitrate;act as judge
temporize;act evasively to gain time
incarnation;act of assuming a human body and human nature
vivisection;act of dissecting living animals
summation;act of finding the total
volition;act of making a conscious choice
diversion;act of turning aside
disjunction;act or state of separation
vicarious;acting as a substitute
pantomime;acting without dialogue
animosity;active enmity
vigor;active strength
veritable;actual
anguish;acute pain
addendum;addition
elaboration;addition of details
accessory;additional object
viscid;adhesive
hermetic;adj . obscure and mysterious
thematic;adj relating to a unifying motif or idea
contiguous;adjacent to
adjacent;adjoining
compromise;adjust or settle by making mutual concessions
acclimate;adjust to climate or enviroment
concede;admit
enfranchise;admit to the rights of citizenship (especially the right to vote)
espouse;adopt
embellish;adorn
precocious;advanced in development
suffragist;advocate of voting rights (for women)
mannered;affected
mincing;affectedly dainty
gustatory;affecting the sense of taste
posthumous;after death (as of child born after father's death or book published after author's death)
emissary;agent
catalyst;agent that influences the pace of a chemical reaction while it remains unaffected or unchanged
polemical;aggressive in verbal attack
truculence;aggressiveness
ferment;agitation
harrowing;agonizing
accede;agree
assent;agree
concur;agree
jibe;agree
amiable;agreeable
palatable;agreeable
winsome;agreeable
accord;agreement
compact;agreement
covenant;agreement
succor;aid
desultory;aimless
dilettante;aimless follower of the arts
attentive;alert and watchful
omniscient;all-knowing
